route_id,service_id,trip_id,trip_headsign,block_id,direction_id,shape_id
12,10,198841,Columbus-Dock,7251,0,278543
12,10,198842,Columbus-Dock,7252,0,278543
12,10,198843,Columbus-Dock,7253,0,278543
12,10,198844,Columbus-Dock,7254,0,278543
12,10,198845,Columbus-Dock,7251,0,278543
12,10,198846,Columbus-Dock,7255,0,278543
12,10,198847,Columbus-Dock,7252,0,278543
12,10,198848,Columbus-Dock,7256,0,278543
12,10,198849,Columbus-Dock,7253,0,278543
12,10,198850,Columbus-Dock,7254,0,278543
12,10,198851,Columbus-Dock,7251,0,278543
12,10,198852,Columbus-Dock,7255,0,278543
12,10,198853,Columbus-Dock,7256,0,278543
12,10,198854,Columbus-Dock,7252,0,278543
12,10,198855,Columbus-Dock,7259,0,278543
12,10,198856,Columbus-Dock,7255,0,278543
12,10,198857,Columbus-Dock,7260,0,278543
12,10,198858,Columbus-Dock,7252,0,278543
12,10,198859,Columbus-Dock,7256,0,278543
12,10,198860,Columbus-Dock,7253,0,278543
12,10,198861,50th-Woodland,7256,1,278544
12,10,198862,50th-Woodland,7253,1,278544
12,10,198863,50th-Woodland,7262,1,278544
12,10,198864,50th-Woodland,7261,1,278544
12,10,198865,50th-Woodland,7259,1,278544
12,10,198866,50th-Woodland,7258,1,278544
12,10,198867,50th-Woodland,7260,1,278544
12,10,198868,50th-Woodland,7256,1,278544
12,10,198869,50th-Woodland,7257,1,278544
12,10,198870,50th-Woodland,7259,1,278544
12,10,198871,50th-Woodland,7261,1,278544
12,10,198872,50th-Woodland,7263,1,278544
12,10,198873,50th-Woodland,7253,1,278544
12,10,198874,50th-Woodland,7254,1,278544
12,10,198875,50th-Woodland,7251,1,278544
12,10,198876,50th-Woodland,7252,1,278544
12,10,198877,50th-Woodland,7255,1,278544
12,10,198878,50th-Woodland,7252,1,278544
12,10,198879,50th-Woodland,7256,1,278544
12,10,198880,50th-Woodland,7253,1,278544
12,10,198881,50th-Woodland,7254,1,278544
12,10,198882,50th-Woodland,7251,1,278544
12,10,198883,50th-Woodland,7255,1,278544
12,10,198884,50th-Woodland,7256,1,278544
12,10,198885,50th-Woodland,7254,1,278544
12,10,198886,50th-Woodland,7257,1,278544
12,10,198887,50th-Woodland,7258,1,278544
12,10,198888,50th-Woodland,7258,1,278544
12,10,198889,50th-Woodland,7262,1,278544
12,10,198890,50th-Woodland,7263,1,278544
12,10,198891,50th-Woodland,7262,1,278544
12,10,198892,50th-Woodland,7263,1,278544
12,10,198893,50th-Woodland,7262,1,278544
12,10,198894,50th-Woodland,7256,1,278544
12,10,198895,50th-Woodland,7263,1,278544
12,10,198896,50th-Woodland,7251,1,278544
12,10,198897,50th-Woodland,7255,1,278544
12,10,198898,50th-Woodland,7257,1,278544
12,10,198899,50th-Woodland,7258,1,278544
12,10,198900,50th-Woodland,7262,1,278544
12,10,198901,50th-Woodland,7260,1,278544
12,10,198902,50th-Woodland,7261,1,278544
12,10,198903,50th-Woodland,7257,1,278544
12,10,198904,50th-Woodland,7263,1,278544
12,10,198905,50th-Woodland,7258,1,278544
12,10,198906,50th-Woodland,7259,1,278544
12,10,198907,50th-Woodland,7262,1,278544
12,10,198908,50th-Woodland,7260,1,278544
12,10,198909,50th-Woodland,7261,1,278544
12,10,198910,50th-Woodland,7263,1,278544
12,10,198911,50th-Woodland,7251,1,278544
12,10,198912,50th-Woodland,7255,1,278544
12,10,198913,50th-Woodland,7261,1,278544
12,10,198914,50th-Woodland,7251,1,278544
12,10,198915,50th-Woodland,7252,1,278544
12,10,198916,50th-Woodland,7256,1,278544
12,10,198917,50th-Woodland,7253,1,278544
12,10,198918,50th-Woodland,7254,1,278544
12,10,198919,50th-Woodland,7251,1,278544
12,10,198920,50th-Woodland,7255,1,278544
12,10,198921,50th-Woodland,7252,1,278544
14,10,199190,Neshaminy Mall,1063,0,278559
14,10,199191,Neshaminy Mall,1062,0,278559
14,10,199192,Neshaminy Mall,1056,0,278547
14,10,199193,Caroline-Comly,1053,0,278555
14,10,199194,Neshaminy Mall,1152,0,278547
14,10,199195,Byberry Industrial Park,1057,0,278557
14,10,199196,Byberry Industrial Park,1153,0,278557
14,10,199197,Roosevelt-Byberry,1051,0,278556
14,10,199198,Street Road Industrial Park,1055,0,278558
14,10,199199,Byberry Industrial Park,1061,0,278557
14,10,199200,Neshaminy Mall,1053,0,278547
14,10,199201,Neshaminy Mall,1063,0,278559
14,10,199202,Street Road Industrial Park,1054,0,278558
14,10,199203,Neshaminy Mall,1056,0,278559
14,10,199204,Street Road Industrial Park,1151,0,278558
14,10,199205,Neshaminy Mall,1051,0,278547
14,10,199206,Byberry Industrial Park,1052,0,278557
14,10,199207,Street Road Industrial Park,1056,0,278558
14,10,199208,Neshaminy Mall,1055,0,278547
14,10,199209,Neshaminy Mall,1065,0,278559
14,10,199210,Neshaminy Mall,1055,0,278559
14,10,199211,Neshaminy Mall,1069,0,278559
14,10,199212,Neshaminy Mall,1071,0,278559
14,10,199213,Neshaminy Mall,1072,0,278559
14,10,199214,Roosevelt-Byberry,1073,0,278556
14,10,199215,Byberry Industrial Park,1056,0,278557
14,10,199216,Byberry Industrial Park,1065,0,278557
14,10,199217,Roosevelt-Byberry,1067,0,278556
14,10,199218,Byberry Industrial Park,1068,0,278557
14,10,199219,Roosevelt-Byberry,1073,0,278556
14,10,199220,Byberry Industrial Park,1072,0,278557
14,10,199221,Street Road Industrial Park,1079,0,278558
14,10,199222,Byberry Industrial Park,1063,0,278557
14,10,199223,Red Lion-Norcom,1076,0,278552
14,10,199224,Street Road Industrial Park,1067,0,278558
14,10,199225,Neshaminy Mall,1073,0,278559
14,10,199226,Neshaminy Mall,1079,0,278559
14,10,199227,Neshaminy Mall,1078,0,278559
